Game_Date,Sport,League_ID,Game_Status,Home_Team,Away_Team,Home_Score_Final,Away_Score_Final,Game_ID
2023-03-09 20:05:00,Baseball,1,Finished,Cleveland Guardians,San Diego Padres,,,135904
2023-03-10 18:05:00,Baseball,1,Finished,Detroit Tigers,New York Yankees,,,135905
2023-03-10 18:05:00,Baseball,1,Finished,Philadelphia Phillies,Pittsburgh Pirates,,,135906
2023-03-10 18:05:00,Baseball,1,Finished,Tampa Bay Rays,Atlanta Braves,,,135911
2023-03-10 18:05:00,Baseball,1,Finished,Boston Red Sox,Toronto Blue Jays,,,135919
2023-03-10 18:10:00,Baseball,1,Finished,New York Mets,Houston Astros,,,135909
2023-03-10 20:05:00,Baseball,1,Finished,Chicago Cubs,Chicago White Sox,,,135907
2023-03-10 20:05:00,Baseball,1,Finished,Oakland Athletics,Texas Rangers,,,135913
2023-03-10 20:05:00,Baseball,1,Finished,Los Angeles Dodgers,Los Angeles Angels,,,135915
2023-03-10 20:05:00,Baseball,1,Finished,Kansas City Royals,San Diego Padres,,,135920
2023-03-10 20:10:00,Baseball,1,Finished,Milwaukee Brewers,Cleveland Guardians,,,135908
2023-03-10 20:10:00,Baseball,1,Finished,Seattle Mariners,Cincinnati Reds,,,135912
2023-03-10 20:10:00,Baseball,1,Finished,Colorado Rockies,San Francisco Giants,,,135916
2023-03-10 23:05:00,Baseball,1,Finished,Washington Nationals,Miami Marlins,,,135910
2023-03-10 23:05:00,Baseball,1,Finished,St.Louis Cardinals,New York Mets,,,135914
2023-03-10 23:05:00,Baseball,1,Finished,Baltimore Orioles,Minnesota Twins,,,135917
2023-03-11 01:05:00,Baseball,1,Finished,Cincinnati Reds,Arizona Diamondbacks,,,135918
2023-03-11 18:05:00,Baseball,1,Finished,Minnesota Twins,Boston Red Sox,,,135923
2023-03-11 18:05:00,Baseball,1,Finished,Pittsburgh Pirates,New York Yankees,,,135927
2023-03-11 18:05:00,Baseball,1,Finished,New York Yankees,Philadelphia Phillies,,,135928
2023-03-11 18:05:00,Baseball,1,Finished,Houston Astros,St.Louis Cardinals,,,135929
2023-03-11 18:05:00,Baseball,1,Finished,Atlanta Braves,Detroit Tigers,,,135935
2023-03-11 18:07:00,Baseball,1,Finished,Toronto Blue Jays,Baltimore Orioles,,,135924
2023-03-11 20:05:00,Baseball,1,Finished,Texas Rangers,Cincinnati Reds,,,135925
2023-03-11 20:05:00,Baseball,1,Finished,San Francisco Giants,Los Angeles Dodgers,,,135926
2023-03-11 20:05:00,Baseball,1,Finished,Los Angeles Dodgers,Chicago Cubs,,,135931
2023-03-11 20:05:00,Baseball,1,Finished,Cleveland Guardians,Oakland Athletics,,,135934
2023-03-11 20:10:00,Baseball,1,Finished,Milwaukee Brewers,Kansas City Royals,,,135921
2023-03-11 20:10:00,Baseball,1,Finished,San Diego Padres,Chicago White Sox,,,135922
2023-03-11 20:10:00,Baseball,1,Finished,Miami Marlins,Tampa Bay Rays,,,135930
2023-03-11 20:10:00,Baseball,1,Finished,Los Angeles Angels,Arizona Diamondbacks,,,135932
2023-03-11 20:10:00,Baseball,1,Finished,Colorado Rockies,Seattle Mariners,,,135933
2023-03-12 00:05:00,Baseball,1,Finished,Washington Nationals,New York Mets,,,135936
2023-03-12 17:05:00,Baseball,1,Finished,Detroit Tigers,Minnesota Twins,,,135937
2023-03-12 17:05:00,Baseball,1,Finished,Philadelphia Phillies,Toronto Blue Jays,,,135938
2023-03-12 17:05:00,Baseball,1,Finished,St.Louis Cardinals,Washington Nationals,,,135942
2023-03-12 17:05:00,Baseball,1,Finished,Pittsburgh Pirates,Atlanta Braves,,,135945
2023-03-12 17:05:00,Baseball,1,Finished,Houston Astros,Miami Marlins,,,135948
2023-03-12 17:05:00,Baseball,1,Finished,Boston Red Sox,New York Yankees,,,135951
2023-03-12 17:05:00,Baseball,1,Finished,Baltimore Orioles,Boston Red Sox,,,135952
2023-03-12 17:10:00,Baseball,1,Finished,New York Mets,Tampa Bay Rays,,,135941
2023-03-12 20:05:00,Baseball,1,Finished,Chicago Cubs,Milwaukee Brewers,,,135939
2023-03-12 20:05:00,Baseball,1,Finished,San Francisco Giants,Oakland Athletics,,,135944
